# put the affix in Column A and the tags you want it to have in following columns.
#
# tags can have multipliers
# for example; the added strength entry might be:
#
# +1 to Strength; AddStr; MaxLife*0.5
#
# so if an item has a "+23 to Strength" mod;
# then the AddStr tag will get 23 points and the MaxLife tag will get 11.5 points
# (this tool doesn't round down like the game would)
#
# a multiplier of zero means to count the mod as 1 no matter the value
# having no tag is interpreted as Junk*0
#
# mods are checked in order, so if there are duplicates in this file, only the first will match

+1% to Chaos Resistance; ResChaos; TotRes
+1% to Cold and Chaos Resistances; ResCold; ResChaos; TotRes*2
+1% to Cold and Lightning Resistances; ResCold; ResLight; TotRes*2
+1% to Cold Resistance; ResCold; TotRes
+1% to Fire and Chaos Resistances; ResFire; ResChaos; TotRes*2
+1% to Fire and Cold Resistances; ResFire; ResCold; TotRes*2
+1% to Fire and Lightning Resistances; ResFire; ResLight; TotRes*2
+1% to Fire Resistance; ResFire; TotRes
+1% to Lightning and Chaos Resistances; ResLight; ResChaos; TotRes*2
+1% to Lightning Resistance; ResLight; TotRes
+1% to All Elemental Resistances; ResAll; ResCold; ResFire; ResLight; TotRes*3
+1% chance to Suppress Spell Damage; Suppress; TotRes*2

+1 to Maximum Life; MaxLife
Mirror Arrow and Mirror Arrow Clones deal 1% increased Damage
Monsters are Hexproof
Monsters cannot be Taunted
Monsters deal 1% extra Physical Damage as Cold
Monsters deal 1% extra Physical Damage as Fire
Monsters deal 1% extra Physical Damage as Lightning
Monsters fire 1 additional Projectiles
Monsters gain 1% of Maximum Life as Extra Maximum Energy Shield
Monsters gain an Endurance Charge on Hit
Monsters have 1% chance to Avoid Elemental Ailments
Monsters have 1% chance to gain a Power Charge on Hit
Monsters have 1% chance to gain an Endurance Charge on Hit
Monsters have 1% chance to Impale with Attacks
Monsters have 1% increased Accuracy Rating
Monsters have 1% increased Area of Effect
Monsters have 1% increased Critical Strike Chance
Monsters have a 1% chance to avoid Poison, Impale, and Bleeding
Monsters Maim on Hit with Attacks
Monsters Poison on Hit
Monsters reflect 1% of Physical Damage
Monsters steal Power, Frenzy and Endurance charges on Hit
Monsters take 1% reduced Extra Damage from Critical Strikes
Monsters' Action Speed cannot be modified to below base value
Nearby allies gain 1% increased Damage
Nearby Enemies are Blinded
Nearby Enemies are Blinded while in Sand Stance\nYou take 1% less Damage from Attacks from Enemies that aren't nearby while in Sand Stance\nNearby Enemies are Maimed while in Blood Stance
Nearby Enemies are Intimidated
Nearby Enemies have 1% increased Effect of Curses on them
Nearby Enemies take 1% increased Physical Damage
Never deal Critical Strikes
No Physical Damage
Non-Channelling Skills have -1 to Total Mana Cost
Overwhelm 1% Physical Damage Reduction
Pain Attunement
Patrol Packs have 1% increased chance to be replaced by an Elite Patrol Pack
Patrol Packs take 1% reduced damage
Pestilent Strike has 1% increased Area of Effect
Player chance to Dodge is Unlucky
Players and their Minions have 1% increased Mana Regeneration Rate
Players are Cursed with Temporal Chains, with 1% increased Effect
Players are Cursed with Vulnerability, with 1% increased Effect
Players have -1% to amount of Suppressed Spell Damage Prevented
Players have 1% less Accuracy Rating
Players have 1% less Armour
Players have 1% less Armour per 1% Alert Level
Players have 1% less Energy Shield Recovery Rate per 1% Alert Level
Players have 1% less Recovery Rate of Life and Energy Shield
Players have 1% reduced Chance to Block
Players have Point Blank
Poisons you inflict deal Damage 1% faster
Projectiles continuously lose Damage, up to 1% less Damage by the time they dissipate\nProjectiles have 1% chance to Freeze, which is lost over the first quarter of their flight
Projectiles deal 1% increased Damage for each time they have Chained
Projectiles deal 1% less Damage
Projectiles Pierce 1 additional Targets
Projectiles Pierce all Targets
Projectiles Pierce an additional Target
Projectiles which Hit Cursed Enemies Split towards 1 additional targets
Properties are doubled while in a Breach
Quality does not increase Defences
Quality does not increase Physical Damage
Rage Vortex Sacrifices +1% of Rage
Raised Zombies have 1% increased Attack Speed
Rampage
Rare Monsters each have a Nemesis Mod
Recover 1 Life when you Ignite an Enemy
Recover 1% of Life on Kill
Recover 1% of Life on use
Recover 1% of Mana on Kill
Recover Full Life at the end of the Flask Effect
Reflects 1 Cold Damage to Melee Attackers
Reflects 1 Fire Damage to Melee Attackers
Reflects 1 Physical Damage to Attackers on Block
Reflects 1 Physical Damage to Melee Attackers
Reflects 1 to 1 Lightning Damage to Attackers on Block
Reflects 1 to 1 Physical Damage to Attackers on Block
Reflects 1% of Damage taken from Buff as Fire Damage when Buff expires or is depleted
Reforges a magic item with new random modifiers
Reforges the colour of sockets on an item
Regenerate 1 Energy Shield per second
Regenerate 1 Energy Shield per second while a Rare or Unique Enemy is Nearby
Regenerate 1 Life over 1 second
Regenerate 1 Life over 1 second when you Cast a Spell
Regenerate 1 Life per second for each affected Enemy
Regenerate 1 Life per second per Endurance Charge
Regenerate 1 Life per second per Level
Regenerate 1 Life per second while any Enemy is affected
Regenerate 1 Mana per second
Regenerate 1 Mana per second for each affected Enemy
Regenerate 1 Mana per Second per Power Charge
Regenerate 1 Mana per second while any Enemy is affected
Regenerate 1% of Energy Shield per second
Regenerate 1% of Life per second if you have been Hit Recently
Regenerate 1% of Life per second if you were Hit Recently
Regenerate 1% of Life per second while Frozen
Regenerate 1% of Life per second while moving
Regenerate 1% of Life per second while on Low Life
Removes 1% of Mana Recovered from Life when used
Removes Curses on use
Removes existing Elusive before granting a new Elusive Buff when used
Resolute Technique
Ruthless Blows with Supported Skills deal 1% more Damage with Bleeding caused by Melee Hits
Ruthless Blows with Supported Skills deal 1% more Melee Damage
Ruthless Blows with Supported Skills have a base Stun Duration of 1 seconds
Sacrifice 1% of your Life when you Use or Trigger a Spell Skill
Sand Bladestorms grant 1% increased Movement Speed to you
Second Stage deals 1% less Damage
Share Endurance Charges with nearby party members
Shockwave deals 1% less Damage
Sigil of Power's Buff also grants 1% increased Critical Strike Chance per Stage
Skills fire an additional Projectile
Skills used by Traps have 1% increased Area of Effect
Skills which throw Mines throw up to 1 additional Mine if you have at least 1 Dexterity
Skills which throw Mines throw up to 1 additional Mine if you have at least 1 Intelligence
Slaying Enemies close together has a 1% chance to attract monsters from Beyond
Smite has 1% increased Aura Effect
Socketed Curse Gems have 1% reduced Reservation
Socketed Gems are Supported by Level 1 Added Chaos Damage
Socketed Gems are Supported by Level 1 Added Fire Damage
Socketed Gems are supported by Level 1 Additional Accuracy
Socketed Gems are Supported by Level 1 Blasphemy
Socketed Gems are supported by Level 1 Blind
Socketed Gems are supported by Level 1 Cast on Death
Socketed Gems are supported by Level 1 Chance to Flee
Socketed Gems are Supported by Level 1 Cold to Fire
Socketed Gems are Supported by Level 1 Concentrated Effect
Socketed Gems are Supported by Level 1 Elemental Penetration
Socketed Gems are Supported by Level 1 Elemental Proliferation
Socketed Gems are Supported by Level 1 Faster Attacks
Socketed Gems are Supported by Level 1 Faster Casting
Socketed Gems are Supported by Level 1 Fire Penetration
Socketed Gems are Supported by Level 1 Generosity
Socketed Gems are Supported by Level 1 Inspiration
Socketed Gems are Supported by Level 1 Lesser Poison
Socketed Gems are Supported by Level 1 Life Gain On Hit
Socketed Gems are Supported by Level 1 Lifetap
Socketed Gems are Supported by Level 1 Meat Shield
Socketed Gems are supported by Level 1 Multistrike
Socketed Gems are Supported by Level 1 Onslaught
Socketed Gems are Supported by Level 1 Spell Echo
Socketed Gems are Supported by Level 1 Spell Totem
Socketed Gems are Supported by Level 1 Trap
Socketed Gems Cost and Reserve Life instead of Mana
Socketed Gems deal 1 to 1 Added Fire Damage
Socketed Gems fire an additional Projectile
Socketed Gems have 1% increased Reservation Efficiency
Socketed Gems have Elemental Equilibrium
Socketed Skill Gems get a 1% Cost & Reservation Multiplier
Soulrend deals 1% increased Damage
Spawns corpses with Level 1
Spirals through 1 rotations
Storm Brand Damage Penetrates 1% of Branded Enemy's Lightning Resistance
Stun Threshold is based on Energy Shield instead of Life
Summoned Carrion Golems deal 1% increased Damage
Summoned Raging Spirits deal 1% increased Damage
Summoned Raging Spirits' Hits always Ignite
Summoned Raging Spirits' Melee Strikes deal Fire-only Splash\nDamage to Surrounding Targets
Summoned Skitterbots have 1% increased Area of Effect
Summons 1 Skeleton Warriors
Summons a Totem which uses this Skill
Supported Attacks deal 1 to 1 added Physical Damage with Weapons per 1 Rage
Supported Attacks deal 1 to 1 added Physical Damage with Weapons while you have at least 1 Rage
Supported Attacks have 1% chance to Maim on Hit
Supported Skills Chain +1 times
Supported Skills deal 1% increased Area Damage
Supported Skills deal 1% increased Damage while Leeching Life
Supported Skills deal 1% increased Damage with Hits against Frozen Enemies
Supported Skills deal 1% less Damage
Supported Skills deal 1% less Damage to surrounding targets
Supported Skills deal 1% less Damage with Hits
Supported Skills deal 1% less Projectile Damage
Supported Skills deal 1% more Damage with Ailments caused by Melee Hits
Supported Skills deal 1% more Damage with Hits
Supported Skills deal 1% more Fire Damage
Supported Skills deal 1% more Melee Damage
Supported Skills deal 1% more Physical Damage
Supported Skills deal 1% more Spell Damage
Supported Skills deal Splash Damage to surrounding targets
Supported Skills fire 1 additional Projectiles
Supported Skills gain 1% of Physical Damage as Extra Fire Damage
Supported Skills grant 1 Rage on Melee Hit, no more than once every 1 seconds
Supported Skills grant Fortify on Melee hit
Supported Skills have 1 to 1 added Cold Damage
Supported Skills have 1 to 1 added Cold Damage per Frenzy Charge
Supported Skills have 1% chance to Freeze
Supported Skills have 1% chance to gain a Frenzy Charge on Killing a Frozen Enemy
Supported Skills have 1% chance to grant Onslaught for 1 seconds on\ndealing a Killing Blow
Supported Skills have 1% chance to grant Onslaught for 1 seconds when you Hit a Unique Enemy
Supported Skills have 1% chance to Ignite
Supported Skills have 1% increased Area of Effect
Supported Skills have 1% increased Cast Speed
Supported Skills have 1% increased Chaining range
Supported Skills have 1% increased Fortify duration
Supported Skills have 1% less Critical Strike Chance
Supported Skills have 1% more Melee Splash Area of Effect
Supported Skills have 1% of Damage Leeched as Life
Supported Spells gain Intensity when you Cast them, to a maximum of 1\nSupported Skills deal 1% more Area Damage with Hits per Intensity\nSupported Skills have 1% less Area of Effect per Intensity
Supported Spells lose 1 Intensity every 1 seconds while moving, or immediately if you teleport
Supported Strike Skills target 1 additional nearby Enemies
Taunt nearby Enemies for 1 seconds per Stage on Placing the Banner\nEnemies Taunted this way deal 1% less Damage
Temporal Chains has 1% reduced Effect on you
Third Stage deals 1% less Damage
This Skill's Cooldown does not recover during its effect
Total Recovery per second from Life Leech is Doubled
Totem lasts 1 seconds
Totems fire 1 additional Projectiles
Totems gain +1% to all Elemental Resistances
Totems Reflect 1% of their maximum Life as Fire Damage to nearby Enemies when Hit
Trap lasts 1 seconds
Trigger a Socketed Spell on Using a Skill, with a 1 second Cooldown and 1% more Cost
Trigger a Socketed Spell on Using a Skill, with a 1 second Cooldown\nSpells Triggered this way have 1% more Cost
Trigger a Socketed Spell when you Use a Skill, with a 1 second Cooldown and 1% more Cost
Trigger a Socketed Warcry Skill on losing Endurance Charges, with a 1 second Cooldown
Trigger Commandment of Frost on Kill
Trigger Commandment of Spite when Hit
Trigger Decree of Fury on Hit
Trigger Decree of Ire when Hit
Trigger Decree of War on Kill
Trigger Edict of Blades on Hit
Trigger Edict of Inferno on Kill
Trigger Level 1 Create Lesser Shrine when you Kill an Enemy
Trigger Level 1 Gore Shockwave on Melee Hit if you have at least 1 Strength
Trigger Level 1 Rain of Arrows when you Attack with a Bow
Trigger Socketed Spells when you Focus, with a 1 second Cooldown
Trigger this Skill when you Block
Trigger Word of Flames on Hit
Trigger Word of Frost on Kill
Trigger Word of Fury on Hit
Trigger Word of Ire when Hit
Trigger Word of Light when you take a Critical Strike
Trigger Word of Reflection when Hit
Trigger Word of Spite when Hit
Trigger Word of the Grave when your Skills or Minions Kill
Trigger Word of the Tempest on Hit
Trigger Word of War on Kill
Trigger Word of Winter when Hit
Unaffected by Burning Ground
Unaffected by Chilled Ground
Unique Boss has 1% increased Area of Effect
Unique Boss has 1% increased Life
Upgrades a normal item to a rare item
Uses both hand slots
Vaal Skills used during effect have 1% reduced Soul Gain Prevention Duration
Wall will be 1 units long
Weapons you Animate create an additional copy
When Dual Wielding, Deals 1% Damage from each Weapon combined
When placed, 1% increased Area of Effect per Stage
When placed, 1% increased Aura effect per Stage
When you Kill a Rare Monster, 1% chance to gain one of its Modifiers for 1 seconds
While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances
Winter Orb deals 1% increased Damage
With at least 1 Dexterity in Radius, Dual Strike deals Splash Damage\nto surrounding targets while wielding a Mace
With at least 1 Dexterity in Radius, Dual Strike has 1% increased\nAccuracy Rating while wielding a Sword
With at least 1 Dexterity in Radius, Ice Shot has 1% increased Area of Effect
With at least 1 Dexterity in Radius, Ice Shot Pierces 1 additional Targets
With at least 1 Intelligence in Radius, 1% increased Freezing Pulse Damage if\nyou've Shattered an Enemy Recently
With at least 1 Intelligence in Radius, Cold Snap grants Power Charges instead of Frenzy Charges when Enemies die in its Area\nWith at least 1 Intelligence in Radius, Cold Snap's Cooldown can be bypassed by Power Charges instead of Frenzy Charges
With at least 1 Intelligence in Radius, Freezing Pulse fires 1 additional Projectiles
With at least 1 Strength in Radius, 1% of Glacial\nHammer Physical Damage Converted to Cold Damage
With at least 1 Strength in Radius, Cleave grants Fortify on Hit
With at least 1 Strength in Radius, Cleave has +1 to Radius per Nearby\nEnemy, up to +1
With at least 1 Strength in Radius, Glacial Hammer deals\nCold-only Splash Damage to surrounding targets
With at least 1 Strength in Radius, Hits with Cleave Fortify
Withered lasts 1 seconds
Withering Step has 1% increased Elusive Effect
Wrath has 1% reduced Reservation
You and nearby allies deal 1% more Spell Damage
You and nearby allies gain 1 additional Energy Shield
You and nearby allies gain 1 additional Evasion Rating
You and nearby allies gain 1% additional Cold Resistance
You and nearby allies gain 1% additional Fire Resistance
You and nearby allies gain 1% additional Lightning Resistance
You and nearby allies gain 1% increased Accuracy Rating
You and nearby Allies gain 1% increased Energy Shield Recharge rate
You and nearby allies gain 1% more Evasion rating
You and nearby Allies have 1% increased Armour and Evasion Rating
You and nearby Allies Regenerate 1 Mana per second
You and nearby Non-Minion Allies have a 1% chance to create Consecrated Ground on Hitting a Rare or Unique Enemy, lasting 1 seconds
You and your Minions take 1% reduced Reflected Elemental Damage
You and your Totems Regenerate 1% of Life per second for each Summoned Totem
You are Immune to Ailments while Focused
You Burn for 1% of your Maximum Energy Shield per second as Fire Damage
You Burn for 1% of your Maximum Life per second as Fire Damage
You can apply an additional Curse
You can inflict an additional Ignite on an Enemy
You cannot be Chilled for 1 seconds after being Chilled
You cannot be Cursed with Silence
You cannot be Frozen for 1 seconds after being Frozen
You cannot be Hindered
You cannot be Ignited for 1 seconds after being Ignited
You cannot be Maimed
You cannot be Shocked for 1 seconds after being Shocked
You cannot use this Attack directly
You gain a Life Flask Charge when you Hit Cursed Enemy, no more\nthan once every 1 seconds
You gain a Mana Flask Charge when you Hit Cursed Enemy, no more\nthan once every 1 seconds
You gain Onslaught for 1 seconds on Culling Strike
You gain Onslaught for 1 seconds on Kill
You gain Phasing for 1 seconds on using a Vaal Skill
You grant 1 Frenzy Charges to allies on Death
You have Consecrated Ground around you while stationary
You have Onslaught during Soul Gain Prevention
You have Onslaught while at maximum Endurance Charges
You lose all Endurance Charges on reaching maximum Endurance Charges
Your Chaos Damage has 1% chance to Poison Enemies
Your Cold Damage can Ignite but not Freeze or Chill
Your Critical Strikes do not deal extra Damage
Your Fire Damage can Shock but not Ignite
Your Hexes can affect Hexproof Enemies
Your Lightning Damage can Freeze but not Shock
Your Minions spread Caustic Ground on Death, dealing 1% of their maximum Life as Chaos Damage per second
Your Skills deal you 1% of Mana Spent on Skill Mana Costs as Physical Damage
Gain 1 Energy Shield per Enemy Hit with Attacks
